sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,cb_color,cb_size,cc_color,cc_size,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,enable_googlecheckout,gallery,gift_message_available,has_options,image,image_label,l_color,l_size,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,ob_size,options_container,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,_super_products_sku,_super_attribute_code,_super_attribute_option,_super_attribute_price_corr
L,,Lounger,configurable,,"Axels Products",base,,,,,,,"South Africa","2014-10-25 09:51:58",,,,,"<h3>Size Chart</h3>
<div class=""datagrid""><table>
<thead><tr><th>Size (mm)</th><th>Length (mm)</th><th>Width (mm)</th><th>Height (mm)</th></tr></thead>
<tbody>
<tr><td><h5>Small</h5></td><td>820</td><td>600</td><td>100 + 75 (175)</td></tr>
<tr class=""alt""><td><h5>Medium</h5></td><td>1000</td><td>800</td><td>100 + 75 (175)</td></tr>
<tr><td><h5>Large</h5></td><td>1300</td><td>1100</td><td>125 + 100 (225)</td></tr>
</tbody>
</table></div>",,,,1,/l/o/lounger_front_black.jpg,,,,,,,,,,,"Use config","Use config",Lounger,,,,"Product Info Column",,650.0000,1,"<h5>Our most popular and stylish dog bed for a good reason:</h5>
<ul class=""ic-ul"">
<li><span class=""ic ic-arrow-right ic-li""></span>Bolster sides offers support for extra comfort</li>
<li><span class=""ic ic-arrow-right ic-li""></span>Bolster sides are covered with super durable waterproof polyester.</li>
<li><span class=""ic ic-arrow-right ic-li""></span>Base and bolster filled with high density foam.</li>
<li><span class=""ic ic-arrow-right ic-li""></span>Base and bolster cover is removable and washable.</li>
<li><span class=""ic ic-arrow-right ic-li""></span>Base has a non slip bottom to stop your pet from taking over the lounge :)</li>
</ul>",/l/o/lounger_front_black.jpg,,,,,1,0,/l/o/lounger_front_black.jpg,,"2014-11-09 11:56:15",lounger,lounger.html,4,,0.0000,0.0000,1,0,0,1,1.0000,1,1.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/l/o/lounger_front_black.jpg,,1,0,L-M-BL,l_size,M,200.0000
,,,,"Dog Beds","Axels Products",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/l/o/lounger_front_maroon.jpg,,2,0,L-M-OL,l_size,M,200.0000
,,,,"Dog Beds/Lounger Beds","Axels Products",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/l/o/lounger_front_olive.jpg,,3,0,L-M-MA,l_size,M,200.0000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L-L-BL,l_size,L,700.0000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L-L-OL,l_size,L,700.0000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L-L-MA,l_size,L,700.0000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L-S-BL,l_size,S,0.0000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L-S-OL,l_size,S,0.0000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L-S-MA,l_size,S,0.0000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L-M-BL,l_color,BL,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L-M-OL,l_color,OL,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L-M-MA,l_color,MA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L-L-BL,l_color,BL,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L-L-OL,l_color,OL,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L-L-MA,l_color,MA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L-S-BL,l_color,BL,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L-S-OL,l_color,OL,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L-S-MA,l_color,MA,
L-M-BL,,Lounger,simple,,,base,,,,,,,"South Africa","2014-10-25 10:30:41",,,,,Long,,,,0,no_selection,,BL,M,,,,,,,,"Use config","Use config",Lounger,,,,"Product Info Column",,0.0000,0,Short,no_selection,,,,,1,0,no_selection,,"2014-10-26 11:37:03",lounger-75,lounger-75.html,1,1.0000,0.0000,0.0000,1,0,0,1,1.0000,1,1.0000,1,0,0.0000,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
L-M-OL,,Lounger,simple,,,base,,,,,,,"South Africa","2014-10-25 10:30:41",,,,,Long,,,,0,no_selection,,OL,M,,,,,,,,"Use config","Use config",Lounger,,,,"Product Info Column",,0.0000,0,Short,no_selection,,,,,1,0,no_selection,,"2014-10-26 11:37:03",lounger-76,lounger-76.html,1,1.0000,0.0000,0.0000,1,0,0,1,1.0000,1,1.0000,1,0,0.0000,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
L-M-MA,,Lounger,simple,,,base,,,,,,,"South Africa","2014-10-25 10:30:41",,,,,Long,,,,0,no_selection,,MA,M,,,,,,,,"Use config","Use config",Lounger,,,,"Product Info Column",,0.0000,0,Short,no_selection,,,,,1,0,no_selection,,"2014-10-26 11:37:03",lounger-77,lounger-77.html,1,1.0000,0.0000,0.0000,1,0,0,1,1.0000,1,1.0000,1,0,0.0000,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
